entryID,year
ID_00001,1
ID_00002,2
ID_00003,2
ID_00004,2
ID_00005,2
ID_00006,2
ID_00007,2
ID_00008,2
ID_00009,2
ID_00010,2
ID_00011,2
ID_00012,2
ID_00013,2
ID_00014,2
ID_00015,2
ID_00016,2
ID_00017,2
ID_00018,2
ID_00019,2
ID_00020,2
ID_00021,2
ID_00022,2
ID_00023,2
ID_00024,10
ID_00025,10
ID_00026,10
ID_00027,10
ID_00028,10
ID_00029,10
ID_00030,10
ID_00031,10
ID_00032,10
ID_00033,10
ID_00034,10
ID_00035,10
ID_00036,10
ID_00037,10
ID_00038,10
ID_00039,10
ID_00040,10
ID_00041,10
ID_00042,10
ID_00043,10
ID_00044,10
ID_00045,10
ID_00046,10
ID_00047,10
ID_00048,10
ID_00049,15
ID_00050,15
ID_00051,15
ID_00052,15
ID_00053,15
ID_00054,15
ID_00055,15
ID_00056,15
ID_00057,15
ID_00058,15
ID_00059,15
ID_00060,15
ID_00061,15
ID_00062,15
ID_00063,15
ID_00064,15
ID_00065,15
ID_00066,15
ID_00067,15
ID_00068,15
ID_00069,15
ID_00070,15
ID_00071,15
ID_00072,15
ID_00073,15
ID_00074,15
ID_00075,15
ID_00076,15
ID_00077,15
ID_00078,15
ID_00079,15
ID_00080,15
ID_00081,15
ID_00082,15
ID_00083,15
ID_00084,15
ID_00085,15
ID_00086,15
ID_00087,15
ID_00088,15
ID_00089,15
ID_00090,15
ID_00091,15
ID_00092,15
ID_00093,15
ID_00094,5
ID_00095,5
ID_00096,5
ID_00097,5
ID_00098,5
ID_00099,5
ID_00100,5
ID_00101,5
ID_00102,5
ID_00103,5
ID_00104,5
ID_00105,5
ID_00106,5
ID_00107,5
ID_00108,5
ID_00109,5
ID_00110,5
ID_00111,5
ID_00112,5
ID_00113,5
ID_00114,5
ID_00115,5
ID_00116,5
ID_00117,5
ID_00118,5
ID_00119,5
ID_00120,5
ID_00121,5
ID_00122,5
ID_00123,5
ID_00124,5
ID_00125,5
ID_00126,5
ID_00127,5
ID_00128,5
ID_00129,5
ID_00130,5
ID_00131,5
ID_00132,5
ID_00133,5
ID_00134,5
ID_00135,5
ID_00136,5
ID_00137,5
ID_00138,5
ID_00139,5
ID_00140,5
ID_00141,5
ID_00142,5
ID_00143,5
ID_00144,5
ID_00145,5
ID_00146,5
ID_00147,5
ID_00148,5
ID_00149,5
ID_00150,5
ID_00151,5
ID_00152,5
ID_00153,5
ID_00154,5
ID_00155,5
ID_00156,5
ID_00157,5
ID_00158,5
ID_00159,5
ID_00160,5
ID_00161,5
ID_00162,5
ID_00163,5
ID_00164,5
ID_00165,5
ID_00166,5
ID_00167,5
ID_00168,5
ID_00169,5
ID_00170,5
ID_00171,5
ID_00172,5
ID_00173,5
ID_00174,5
ID_00175,5
ID_00176,5
ID_00177,5
ID_00178,5
ID_00179,5
ID_00180,5
ID_00181,5
ID_00182,5
ID_00183,5
ID_00184,5
ID_00185,5
ID_00186,5
ID_00187,5
ID_00188,5
ID_00189,5
ID_00190,5
ID_00191,5
ID_00192,5
ID_00193,5
ID_00194,5
ID_00195,5
ID_00196,5
ID_00197,5
ID_00198,5
ID_00199,5
ID_00200,5
ID_00201,5
ID_00202,5
ID_00203,5
ID_00204,5
ID_00205,5
ID_00206,5
ID_00207,5
ID_00208,5
ID_00209,5
ID_00210,5
ID_00211,5
ID_00212,5
ID_00213,5
ID_00214,5
ID_00215,5
ID_00216,5
ID_00217,5
ID_00218,5
ID_00219,5
ID_00220,5
ID_00221,5
ID_00222,5
ID_00223,5
ID_00224,5
ID_00225,5
ID_00226,5
ID_00227,5
ID_00228,5
ID_00229,5
ID_00230,5
ID_00231,5
ID_00232,5
ID_00233,5
ID_00234,5
ID_00235,5
ID_00236,5
ID_00237,5
ID_00238,5
ID_00239,5
ID_00240,5
ID_00241,5
ID_00242,5
ID_00243,5
ID_00244,5
ID_00245,5
ID_00246,5
ID_00247,5
ID_00248,5
ID_00249,5
ID_00250,5
ID_00251,5
ID_00252,5
ID_00253,5
ID_00254,5
ID_00255,5
ID_00256,5
ID_00257,5
ID_00258,5
ID_00259,5
ID_00260,5
ID_00261,5
ID_00262,5
ID_00263,5
ID_00264,5
ID_00265,5
ID_00266,5
ID_00267,5
ID_00268,5
ID_00269,5
ID_00270,5
ID_00271,5
ID_00272,5
ID_00273,5
